channelId,slug,name,enName,avatar,linkTwitter,linkYoutube,colorHighlight,colorMain
UCKpKC3M5fkcEvtOr06dmYlA,yu-q-wilson,ユウ Q ウィルソン,Yu Q. Wilson,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/d0ee818c0be94a03836c33a5e54dc091/liver-face_Yu_Q._Wilson.png,https://twitter.com/YuQWilson,https://www.youtube.com/@YuQ.Wilson,#fffbde,#faf37d
UCpYf6C9QsP_BRf97vLuXlIA,vantacrow-bringer,ベンタクロウ ブリンガー,Vantacrow Bringer,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/d35ae95c701a41dfb191ba04f5d6e05f/liver-face_Vantacrow_Bringer.png,https://twitter.com/Tyrant_Vanta,https://www.youtube.com/@VantacrowBringer,#eae5fc,#a38dfc
UCK9l6rTwU3hiSZijIMq51Gw,vezalius-bandage,ヴェザリウス バンデージ,Vezalius Bandage,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/d82003529a8f472c825834942a43c98a/liver-face_Vezalius_Bandage.png,https://twitter.com/VezaliusBandage,https://www.youtube.com/@VezaliusBandage,#ffedfa,#d273b5
UCO8WcDsF5znr-qsXlzZNpqg,ver-vermillion,ヴェール ヴァーミリオン,Ver Vermillion,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/f0b609dfe4e84993ba2960c8c7fca9f5/liver-face_Ver_Vermillion.png,https://twitter.com/Ver_Vermillion,https://www.youtube.com/@VerVermillion,#f6e4db,#ffc1a0
UCy91xBlY_Brh3bnHxKtjrrg,doppio-dropscythe,ドッピオ ドロップサイト,Doppio Dropscythe,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/44d559377a9649ddb85df12fcab6421e/liver-face_Doppio_Dropscythe.png,https://twitter.com/D_Dropscythe,https://www.youtube.com/@DoppioDropscythe,#ffedfa,#d273b5
UCggO2c1unS-oLwTLT0ICywg,kotoka-torahime,虎姫 コトカ,Kotoka Torahime,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/c3e235c7ce994f2184f2b8642616a251/liver-face_Kotoka_Torahime.png,https://twitter.com/KotokaTorahime,https://www.youtube.com/@KotokaTorahime,#ffdbed,#fc8dac
UCz_ZRw6ak4Foy8zZy0kEprQ,hex-haywire,ヘックス へイワイヤー,Hex Haywire,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/e7b131b2eb72422682369263351a79a1/liver-face_Hex_Haywire.png,https://twitter.com/HexHaywire,https://www.youtube.com/@HexHaywire,#eaf2fc,#a4d7fc
UChKXd7oqD18qiIYBoRIHTlw,meloco-kyoran,狂蘭 メロコ,Meloco Kyoran,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/51ec419d0e4f4843a5a2385d908dcff8/liver-face_Meloco_Kyoran.png,https://twitter.com/MelocoKyoran,https://www.youtube.com/@MelocoKyoran,#ffedfa,#d273b5
UCN68LoM3khS4gdBMiWJO8WA,aia-amare,アイア アマレ,Aia Amare,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/277243c23e434832abb4d2eb80db5ad9/liver-face_Aia_Amare.png.webp,https://twitter.com/AiaAmare,https://www.youtube.com/channel/UCN68LoM3khS4gdBMiWJO8WA,#f8f8f8,#dadada
UCpzxZW5kghGnO5TmAFJQAVw,aster-arcadia,アスター アルカディア,Aster Arcadia,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/8fc8c807100f422dbdc7c3df9a42fac3/liver-face_Aster_Arcadia.png.webp,https://twitter.com/AsterArcadia,https://www.youtube.com/channel/UCpzxZW5kghGnO5TmAFJQAVw,#e5eafc,#9aaffc
UCFgXWZOUZA2oYHNr6qDmsTQ,scarle-yonaguni,スカーレ ヨナグニ,Scarle Yonaguni,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/a410b878c4f64e9a9d1577097e3e56d9/liver-face_Scarle_Yonaguni.png.webp,https://twitter.com/ScarleYonaguni,https://www.youtube.com/channel/UCFgXWZOUZA2oYHNr6qDmsTQ,#ffe8e8,#ffa8a8
UCsb-1aJgiJXJH2feV-zlZRw,kyo-kaneko,金子 鏡,Kyo Kaneko,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/bd7ddefe976c41f1bf385e10552fc012/liver-face_Kyo_Kaneko.webp,https://twitter.com/KyoKanek0,https://www.youtube.com/channel/UCsb-1aJgiJXJH2feV-zlZRw,#eaf2fc,#a4d7fc
UCwaS8_S7kMiKA3izlTWHbQg,maria-marionette,マリア マリオネット,Maria Marionette,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/e4d32f8f3a9e4efc852950d38ea4ba57/liver-face_Maria_Marionette.png.webp,https://twitter.com/MariaMari0nette,https://www.youtube.com/channel/UCwaS8_S7kMiKA3izlTWHbQg,#ffdbed,#fc73b5
UCBURM8S4LH7cRZ0Clea9RDA,reimu-endou,遠藤霊夢,Reimu Endou,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/895413d8e46a454098cf5f2fc7fc0a15/liver-face_Reimu_Endou.png,https://twitter.com/ReimuEndou,https://www.youtube.com/channel/UCBURM8S4LH7cRZ0Clea9RDA,#ffe8e8,#ffa8a8
UCGhqxhovNfaPBpxfCruy9EA,fulgur-ovid,ファルガー・オーヴィド,Fulgur Ovid,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/2121341238014ed5a4a6793277075b13/liver-face_Fulgur_Ovid.png.webp,https://twitter.com/fulgur_ovid,https://www.youtube.com/channel/UCGhqxhovNfaPBpxfCruy9EA,#ffdbed,#fc8dac
